route_id,stop_id,seq,is_inferred,notes
BREEZE_AEON_ICE,THE_BREEZE,1,false,origin loop
BREEZE_AEON_ICE,NAVAPARK_1,2,false,
BREEZE_AEON_ICE,CBD_TIMUR_2,3,false,
BREEZE_AEON_ICE,CBD_TIMUR_1,4,false,
BREEZE_AEON_ICE,SML_PLAZA,5,false,
BREEZE_AEON_ICE,GOP_1,6,false,
BREEZE_AEON_ICE,CBD_BARAT_1,7,false,
BREEZE_AEON_ICE,AEON_MALL_2,8,false,
BREEZE_AEON_ICE,AEON_MALL_1,9,false,
BREEZE_AEON_ICE,AEON_MALL_LOBBY,10,false,
BREEZE_AEON_ICE,ICE_1,11,false,
BREEZE_AEON_ICE,ICE_2,12,false,
INT_VANYA_INT,PASAR_MODERN,1,true,hub inferred
INT_VANYA_INT,VANYA_PARK,2,true,overview low-res inferred
