trip_id,stop_id,arrival_time,stop_seq,notes
BREEZE_AEON_ICE_01_0700,THE_BREEZE,07:00,1,
BREEZE_AEON_ICE_01_0700,NAVAPARK_1,07:02,2,
BREEZE_AEON_ICE_01_0700,CBD_TIMUR_2,07:04,3,
BREEZE_AEON_ICE_01_0700,CBD_TIMUR_1,07:06,4,
BREEZE_AEON_ICE_01_0700,SML_PLAZA,07:08,5,
BREEZE_AEON_ICE_01_0700,GOP_1,07:10,6,
BREEZE_AEON_ICE_01_0700,CBD_BARAT_1,07:12,7,
BREEZE_AEON_ICE_01_0700,AEON_MALL_2,07:14,8,
BREEZE_AEON_ICE_01_0700,AEON_MALL_1,07:16,9,
BREEZE_AEON_ICE_01_0700,AEON_MALL_LOBBY,07:18,10,
BREEZE_AEON_ICE_01_0700,ICE_1,07:20,11,
BREEZE_AEON_ICE_01_0700,ICE_2,07:22,12,
BREEZE_AEON_ICE_02_0902,THE_BREEZE,09:02,1,
BREEZE_AEON_ICE_02_0902,NAVAPARK_1,09:04,2,
BREEZE_AEON_ICE_02_0902,CBD_TIMUR_2,09:06,3,
BREEZE_AEON_ICE_02_0902,CBD_TIMUR_1,09:08,4,
BREEZE_AEON_ICE_02_0902,SML_PLAZA,09:10,5,
BREEZE_AEON_ICE_02_0902,GOP_1,09:12,6,
BREEZE_AEON_ICE_02_0902,CBD_BARAT_1,09:14,7,
BREEZE_AEON_ICE_02_0902,AEON_MALL_2,09:16,8,
BREEZE_AEON_ICE_02_0902,AEON_MALL_1,09:18,9,
BREEZE_AEON_ICE_02_0902,AEON_MALL_LOBBY,09:20,10,
BREEZE_AEON_ICE_02_0902,ICE_1,09:22,11,
BREEZE_AEON_ICE_02_0902,ICE_2,09:24,12,
BREEZE_AEON_ICE_03_0909,THE_BREEZE,09:09,1,
BREEZE_AEON_ICE_03_0909,NAVAPARK_1,09:11,2,
BREEZE_AEON_ICE_03_0909,CBD_TIMUR_2,09:13,3,
BREEZE_AEON_ICE_03_0909,CBD_TIMUR_1,09:15,4,
BREEZE_AEON_ICE_03_0909,SML_PLAZA,09:17,5,
BREEZE_AEON_ICE_03_0909,GOP_1,09:19,6,
BREEZE_AEON_ICE_03_0909,CBD_BARAT_1,09:21,7,
BREEZE_AEON_ICE_03_0909,AEON_MALL_2,09:23,8,
BREEZE_AEON_ICE_03_0909,AEON_MALL_1,09:25,9,
BREEZE_AEON_ICE_03_0909,AEON_MALL_LOBBY,09:27,10,
BREEZE_AEON_ICE_03_0909,ICE_1,09:29,11,
BREEZE_AEON_ICE_03_0909,ICE_2,09:31,12,
BREEZE_AEON_ICE_04_0911,THE_BREEZE,09:11,1,
BREEZE_AEON_ICE_04_0911,NAVAPARK_1,09:13,2,
BREEZE_AEON_ICE_04_0911,CBD_TIMUR_2,09:15,3,
BREEZE_AEON_ICE_04_0911,CBD_TIMUR_1,09:17,4,
BREEZE_AEON_ICE_04_0911,SML_PLAZA,09:19,5,
BREEZE_AEON_ICE_04_0911,GOP_1,09:21,6,
BREEZE_AEON_ICE_04_0911,CBD_BARAT_1,09:23,7,
BREEZE_AEON_ICE_04_0911,AEON_MALL_2,09:25,8,
BREEZE_AEON_ICE_04_0911,AEON_MALL_1,09:27,9,
BREEZE_AEON_ICE_04_0911,AEON_MALL_LOBBY,09:29,10,
BREEZE_AEON_ICE_04_0911,ICE_1,09:31,11,
BREEZE_AEON_ICE_04_0911,ICE_2,09:33,12,
BREEZE_AEON_ICE_05_1000,THE_BREEZE,10:00,1,
BREEZE_AEON_ICE_05_1000,NAVAPARK_1,10:02,2,
BREEZE_AEON_ICE_05_1000,CBD_TIMUR_2,10:04,3,
BREEZE_AEON_ICE_05_1000,CBD_TIMUR_1,10:06,4,
BREEZE_AEON_ICE_05_1000,SML_PLAZA,10:08,5,
BREEZE_AEON_ICE_05_1000,GOP_1,10:10,6,
BREEZE_AEON_ICE_05_1000,CBD_BARAT_1,10:12,7,
BREEZE_AEON_ICE_05_1000,AEON_MALL_2,10:14,8,
BREEZE_AEON_ICE_05_1000,AEON_MALL_1,10:16,9,
BREEZE_AEON_ICE_05_1000,AEON_MALL_LOBBY,10:18,10,
BREEZE_AEON_ICE_05_1000,ICE_1,10:20,11,
BREEZE_AEON_ICE_05_1000,ICE_2,10:22,12,
BREEZE_AEON_ICE_06_1100,THE_BREEZE,11:00,1,
BREEZE_AEON_ICE_06_1100,NAVAPARK_1,11:02,2,
BREEZE_AEON_ICE_06_1100,CBD_TIMUR_2,11:04,3,
BREEZE_AEON_ICE_06_1100,CBD_TIMUR_1,11:06,4,
BREEZE_AEON_ICE_06_1100,SML_PLAZA,11:08,5,
BREEZE_AEON_ICE_06_1100,GOP_1,11:10,6,
BREEZE_AEON_ICE_06_1100,CBD_BARAT_1,11:12,7,
BREEZE_AEON_ICE_06_1100,AEON_MALL_2,11:14,8,
BREEZE_AEON_ICE_06_1100,AEON_MALL_1,11:16,9,
BREEZE_AEON_ICE_06_1100,AEON_MALL_LOBBY,11:18,10,
BREEZE_AEON_ICE_06_1100,ICE_1,11:20,11,
BREEZE_AEON_ICE_06_1100,ICE_2,11:22,12,
BREEZE_AEON_ICE_07_1230,THE_BREEZE,12:30,1,
BREEZE_AEON_ICE_07_1230,NAVAPARK_1,12:32,2,
BREEZE_AEON_ICE_07_1230,CBD_TIMUR_2,12:34,3,
BREEZE_AEON_ICE_07_1230,CBD_TIMUR_1,12:36,4,
BREEZE_AEON_ICE_07_1230,SML_PLAZA,12:38,5,
