stop_id,stop_name_raw,stop_name_norm,stop_type,transfer_type,notes
PASAR_MODERN,PASAR MODERN TERMINAL INTERMODA,PASAR MODERN,HUB,"BUSWAY_TRANSJAKARTA_JRC_MRT_FATMAWATI|JRC_TRANS_JABODETABEK|JRC_MRT_LEBAK_BULUS|JAC_SOETTA",HUB Stasiun Cisauk
STASIUN_CISAUK,STASIUN KERETA API CISAUK,STASIUN CISAUK,HUB,NONE,transfer halte
ICE_1,ICE 1,ICE 1,HALTE_BUS,NONE,Indonesia Convention Exhibition
ICE_2,ICE 2,ICE 2,HALTE_BUS,NONE,
ICON,ICON,ICON,HALTE_BUS,NONE,Icon BSD
THE_BREEZE,THE BREEZE,THE BREEZE,HALTE_BUS,NONE,Breeze BSD
HALTE_SEKTOR_1_3,HALTE SEKTOR 1.3,HALTE SEKTOR 1.3,HALTE_BUS,NONE,Sektor 1.3 cluster
GREENWICH_PARK,GREENWICH PARK,GREENWICH PARK,HUB,NONE,Greenwich Park Office
AEON_MALL_1,AEON MALL 1,AEON MALL 1,HALTE_BUS,NONE,
AEON_MALL_2,AEON MALL 2,AEON MALL 2,HALTE_BUS,NONE,
CBD_BARAT_1,CBD Barat 1,CBD BARAT 1,BUS_STOP,NONE,
CBD_BARAT_2,CBD Barat 2,CBD BARAT 2,BUS_STOP,NONE,
CBD_TIMUR_1,CBD Timur 1,CBD TIMUR 1,BUS_STOP,NONE,
CBD_TIMUR_2,CBD Timur 2,CBD TIMUR 2,BUS_STOP,NONE,
NAVAPARK_1,NavaPark 1,NAVAPARK 1,HALTE_BUS,NONE,
GREEN_COVE,Green Cove,GREEN COVE,BUS_STOP,NONE,Sektor 1.3
EKA_HOSPITAL_1,Eka Hospital 1,EKA HOSPITAL 1,BUS_STOP,NONE,
EKA_HOSPITAL_2,Eka Hospital 2,EKA HOSPITAL 2,BUS_STOP,NONE,
RUKO_MADRID,Ruko Madrid,RUKO MADRID,BUS_STOP,NONE,
POLSEK_SERPONG,Polsek Serpong,POLSEK SERPONG,BUS_STOP,NONE,
DE_PARK_LOBBY,Lobby TheBreeze/DePark Lobby,DE PARK LOBBY,HALTE_BUS,NONE,Casa De Parco / Digital Hub
VANYA_PARK,VANYA PARK,VANYA PARK,BUS_STOP,NONE,inferred from overview low-res
SIMPLICITY_1,Simplicity 1,SIMPLICITY 1,BUS_STOP,NONE,
SIMPLICITY_2,Simplicity 2,SIMPLICITY 2,BUS_STOP,NONE,
ELDORADO_1,Eldorado 1,ELDORADO 1,BUS_STOP,NONE,
ELDORADO_2,Eldorado 2,ELDORADO 2,BUS_STOP,NONE,
Q_BIG,Q BIG,Q BIG,HALTE_BUS,NONE,QBig BSD City
BCA,BCA,BCA,BUS_STOP,NONE,
FBL_1,FBL 1,FBL 1,BUS_STOP,NONE,Foresta
FBL_2,FBL 2,FBL 2,BUS_STOP,NONE,
STUDENT_1,Student 1,STUDENT 1,BUS_STOP,NONE,
FORRESTA_2,Foresta 2,FORRESTA 2,BUS_STOP,NONE,
DE_MAJA,De Maja,DE MAJA,BUS_STOP,NONE,Greenwich
DE_NARA,De Nara,DE NARA,BUS_STOP,NONE,
DE_PARK_2,De Park 2,DE PARK 2,BUS_STOP,NONE,
JATERE,Jatere,JATERE,BUS_STOP,NONE,
CASA_DE_PARCO_1,Casa De Parco 1,CASA DE PARCO 1,BUS_STOP,NONE,
DIGITAL_HUB_1,Digital Hub 1,DIGITAL HUB 1,BUS_STOP,NONE,
AEON_MALL_LOBBY,AEON Mall Lobby Lobby,AEON MALL LOBBY,BUS_STOP,NONE,
SML_PLAZA,SML Plaza,SML PLAZA,BUS_STOP,NONE,near GOP1
GOP_1,GOP 1,GOP 1,BUS_STOP,NONE,
