trip_id,route_id,bus_no,departure_time,service_day,highlight,notes
BREEZE_AEON_ICE_01_0700,BREEZE_AEON_ICE,7,07:00,DAILY,false,
BREEZE_AEON_ICE_02_0902,BREEZE_AEON_ICE,7,09:02,DAILY,false,
BREEZE_AEON_ICE_03_0909,BREEZE_AEON_ICE,7,09:09,DAILY,false,
BREEZE_AEON_ICE_04_0911,BREEZE_AEON_ICE,7,09:11,DAILY,false,
BREEZE_AEON_ICE_05_1000,BREEZE_AEON_ICE,7,10:00,DAILY,false,
BREEZE_AEON_ICE_06_1100,BREEZE_AEON_ICE,7,11:00,DAILY,false,
BREEZE_AEON_ICE_07_1230,BREEZE_AEON_ICE,7,12:30,DAILY,false,
BREEZE_AEON_ICE_08_1330,BREEZE_AEON_ICE,7,13:30,DAILY,false,
BREEZE_AEON_ICE_09_1430,BREEZE_AEON_ICE,7,14:30,DAILY,false,
BREEZE_AEON_ICE_10_1530,BREEZE_AEON_ICE,7,15:30,DAILY,false,
BREEZE_AEON_ICE_11_1630,BREEZE_AEON_ICE,7,16:30,DAILY,false,
BREEZE_AEON_ICE_12_1730,BREEZE_AEON_ICE,8,17:30,DAILY,true,highlight row 17:30
BREEZE_AEON_ICE_13_1830,BREEZE_AEON_ICE,7,18:30,DAILY,false,
BREEZE_AEON_ICE_14_1930,BREEZE_AEON_ICE,7,19:30,DAILY,false,
